Time;Video4_EmbryoA;Video6_EmbryoB;Video9_EmbryoC;Video10_EmbryoD;Video11_EmbryoE;Video17_EmbryoF;Video18_EmbryoG;Video19_EmbryoH;Video20_EmbryoI;Video221_EmbryoJ1;Video231_EmbryoK1;Video15_EmbryoL;Video16_EmbryoM;Video222_EmbryoJ2;Video232_EmbryoK2
0;0.089567968;0.110914354;0.093027917;0.10737889;0.116424429;0.096235753;0.12189862;0.099065084;0.111311454;0.12149443;0.109067186;0.126988675;0.132540037;0.100296901;0.106892258
0.05;0.089567968;0.104039286;0.093226791;0.110894461;0.117976926;0.096235753;0.115482903;0.103029997;0.109418948;0.123695021;0.134730054;0.122129952;0.122622494;0.099854217;0.103087738
0.1;0.102363392;0.103987979;0.096614057;0.11156165;0.130018399;0.096235753;0.109067186;0.10154155;0.111831091;0.12561332;0.109067186;0.13043134;0.126578224;0.100502204;0.104319556
0.15;0.089567968;0.116239967;0.093226791;0.110259349;0.135490629;0.083404319;0.102651469;0.103049244;0.108995539;0.135942624;0.115482903;0.128794664;0.127989152;0.108355042;0.10485206
0.2;0.09596568;0.115537068;0.098583546;0.110939368;0.142431958;0.089820036;0.096235753;0.109003029;0.111882414;0.13657778;0.109067186;0.123802543;0.130795616;0.102843941;0.102818278
0.25;0.108761104;0.107605086;0.097974095;0.114769288;0.136241217;0.102651469;0.109067186;0.104935465;0.120222272;0.139246718;0.12189862;0.127948107;0.136716385;0.097974412;0.098808455
0.3;0.115158816;0.118836075;0.094920424;0.120440392;0.143227452;0.096235753;0.109067186;0.10748892;0.121088335;0.140170581;0.109067186;0.129641221;0.13612636;0.096338404;0.098795624
0.35;0.115158816;0.115680727;0.099924339;0.129370456;0.143227452;0.102651469;0.205302939;0.109003029;0.113088485;0.139246718;0.109067186;0.126301169;0.128476563;0.103382861;0.093772117
0.4;0.12795424;0.117250705;0.101053428;0.12458466;0.148609869;0.102651469;0.211718656;0.106526562;0.115609689;0.147471667;0.115482903;0.127122072;0.125649576;0.095234901;0.099828554
0.45;0.108761104;0.118836075;0.105127128;0.13087163;0.14317613;0.102651469;0.24379724;0.11102398;0.119022616;0.147336937;0.109067186;0.128779272;0.12401803;0.093021478;0.100835822
0.5;0.115158816;0.122776413;0.102740645;0.131237301;0.154781364;0.102651469;0.237381523;0.110972654;0.117162186;0.1469135;0.109067186;0.131267636;0.13287866;0.096915819;0.102818278
0.55;0.108761104;0.118877121;0.201221547;0.12736889;0.136228386;0.109067186;0.237381523;0.109047939;0.11749578;0.145110683;0.115482903;0.129620698;0.13620332;0.097897423;0.102638638
0.6;0.102363392;0.120965294;0.194126252;0.119407532;0.150912953;0.109067186;0.230965806;0.105179262;0.116501412;0.141363905;0.115482903;0.124623447;0.12813281;0.099860633;0.102086886
0.65;0.115158816;0.113479679;0.200374731;0.134894009;0.142431958;0.115482903;0.230965806;0.114032951;0.114705135;0.146650456;0.115482903;0.129610437;0.128820317;0.100835822;0.094772969
0.7;0.108761104;0.117122439;0.193196037;0.134894009;0.152394881;0.198887222;0.230965806;0.113006436;0.121575896;0.148928035;0.231029963;0.131262505;0.125824018;0.099950453;0.098538995
0.75;0.121556528;0.114593029;0.198321842;0.136574811;0.147044541;0.192471505;0.224550089;0.10789311;0.121377022;0.146836511;0.237381523;0.128774141;0.133576428;0.099854217;0.096081775
0.8;0.115158816;0.109739436;0.199893585;0.130768986;0.152613001;0.198887222;0.230965806;0.114937567;0.12144759;0.148786889;0.230965806;0.130451863;0.137131967;0.106372585;0.094073656
0.85;0.115158816;0.117963865;0.195672333;0.130685587;0.139410363;0.205302939;0.250212957;0.112846043;0.124045777;0.147882273;0.224550089;0.129620698;0.132796569;0.106359754;0.101105282
0.9;0.115158816;0.123197126;0.196538396;0.130955029;0.151811091;0.211718656;0.24379724;0.109137759;0.118977709;0.161156391;0.230965806;0.129661743;0.124941547;0.110093701;0.09603045
0.95;0.230317633;0.121940118;0.204833348;0.142534602;0.158701098;0.205302939;0.24379724;0.116342609;0.121280793;0.158705587;0.224550089;0.131283028;0.126496133;0.109054355;0.102151044
1;0.236715345;0.124182211;0.199483007;0.137389551;0.151150318;0.218134373;0.24379724;0.117754067;0.123923887;0.155414325;0.230965806;0.129620698;0.134443507;0.107110393;0.094118566
